Fare amount;Wind Direction;Humidity;Wind Speed;Temperature;Pressure
9;243;100;3;281;1032
7;340;51;5;273;1025
7;250;38;4;295;1013
18;200;82;3;289;1006
9;312;43;1;288;1021
21;244;90;3;267;982
8;19;81;1;288;1007
31;300;58;6;271;1008
17;190;50;5;287;1036
4;248;88;2;282;1002
6;55;80;7;273;1021
28;244;59;3;267;993
8;41;46;2;289;993
6;200;70;1;277;1002
6;277;65;10;277;1016
11;124;90;2;301;1010
24;360;87;7;284;1006
4;0;29;0;291;1023
14;250;64;3;276;1014
10;237;90;1;271;1024
35;319;87;1;274;1014
6;80;80;6;276;1015
5;270;61;4;282;1014
11;217;80;2;275;1016
7;180;87;6;288;1009
9;206;87;2;294;1017
5;231;66;5;293;1015
41;274;43;3;296;1012
7;254;72;1;296;989
8;300;64;4;276;1014
39;224;76;1;251;1031
33;300;42;6;281;1018
12;340;64;5;272;1018
12;100;64;7;277;1021
9;304;54;2;299;1010
14;90;70;2;301;1005
13;87;100;2;277;1050
11;130;70;3;275;1013
8;244;26;3;279;998
16;218;68;2;289;1019
7;244;74;3;281;994
11;330;53;3;289;1016
14;240;73;1;293;1022
9;180;79;5;294;983
5;10;23;6;290;1024
6;129;90;2;295;1007
8;30;46;4;291;1021
11;10;53;4;269;1022
5;60;40;1;303;1013
10;310;64;3;272;1017
11;227;53;1;297;1014
7;72;85;2;270;1041
8;170;100;2;280;1031
11;166;95;2;291;1017
8;175;95;2;284;1019
6;120;75;1;282;1025
8;117;77;1;281;992
9;244;59;3;281;977
58;230;58;1;286;1039
11;100;38;3;287;1015
5;228;80;1;261;1022
13;40;65;3;279;1023
3;213;51;2;274;970
7;278;94;1;295;1020
13;160;62;2;285;1038
7;200;69;2;295;1022
11;230;38;5;278;1024
48;270;26;9;287;1015
6;244;80;3;284;1022
6;290;69;4;294;1012
15;130;38;5;287;1027
9;156;70;1;291;1017
7;310;51;6;289;1015
7;275;71;2;259;1028
9;106;71;1;273;1026
30;212;65;2;300;1012
8;270;50;1;266;1019
7;314;52;4;292;1017
7;10;64;1;272;1025
14;170;55;2;277;1007
33;323;60;4;258;1021
12;290;72;3;291;1012
11;180;59;4;289;1017
18;70;42;6;282;1038
15;178;75;1;268;1026
7;60;93;4;282;1009
8;315;80;1;273;1006
7;230;62;5;284;1017
32;300;39;10;281;1018
30;40;39;4;291;1030
20;110;67;3;289;1024
15;244;75;3;285;980
12;355;86;5;281;1031
15;277;80;2;275;1026
8;259;82;2;292;1028
11;270;41;2;286;1017
12;244;80;3;267;1014
15;175;61;2;267;1025
11;217;55;3;288;1021
6;100;54;2;296;1025
36;150;39;3;299;1019
6;230;52;7;293;1007
11;270;25;7;282;1015
13;71;80;1;270;1016
9;320;81;4;282;1008
14;204;87;3;284;1034
12;180;94;3;296;1019
8;260;57;3;288;1035
28;310;21;5;300;1013
7;320;32;6;284;1009
9;350;74;3;273;1027
21;330;47;8;275;1027
8;299;51;3;275;1009
10;204;59;3;304;1012
57;169;98;2;291;1014
13;20;69;7;275;1013
9;297;37;3;288;1031
13;350;73;1;294;1028
17;310;46;5;260;1032
9;76;83;6;290;1038
15;0;35;2;293;1017
4;278;94;1;295;1020
8;253;81;1;296;1025
7;220;29;5;272;1022
32;110;75;3;280;1014
23;160;88;3;293;1013
21;355;93;1;296;1022
8;260;59;1;299;1023
8;320;39;6;290;1014
5;240;49;3;268;1018
7;300;53;5;269;1017
7;142;50;1;296;1012
7;160;79;3;291;980
7;319;73;5;265;1011
14;211;85;3;278;1011
10;30;62;8;269;1039
7;260;95;1;279;1033
11;244;80;3;275;1006
16;170;51;3;299;1012
19;10;56;3;277;1023
11;240;48;6;288;1011
4;323;19;5;267;1024
11;202;78;1;293;1021
11;330;50;7;284;1004
13;135;56;0;304;1014
11;210;50;6;272;1027
16;50;86;7;275;1033
8;300;61;8;282;1004
11;223;63;1;303;1017
7;200;62;4;282;1026
6;290;40;4;278;1022
18;340;52;2;278;1016
13;177;86;1;285;1019
16;220;72;2;289;1018
16;36;88;3;280;1042
22;50;64;3;296;1019
20;244;55;3;269;986
28;241;74;4;303;1009
12;17;47;0;290;1013
4;94;69;6;282;1041
9;190;65;6;300;1016
5;244;94;2;294;1018
12;55;63;0;266;1025
7;150;45;4;302;1020
6;220;51;3;273;1023
7;25;89;4;287;1013
5;235;70;4;305;1009
7;220;47;4;275;1018
41;290;63;3;288;1014
15;65;88;4;276;1013
13;290;39;5;271;1015
9;257;69;1;268;1040
10;230;81;3;280;1005
18;259;98;2;288;1001
14;260;30;12;288;1009
8;310;50;9;287;1009
31;328;68;6;264;1007
23;145;95;4;289;1000
10;100;67;3;286;1028
5;350;73;6;268;1018
5;190;20;5;278;1027
35;190;92;4;288;1023
9;203;42;1;299;1020
19;310;38;5;297;1015
8;40;39;2;273;1031
7;244;48;3;283;984
8;177;71;4;295;1023
9;55;84;2;287;1035
37;226;58;3;296;1022
7;244;80;3;275;1019
5;300;45;6;270;1021
16;127;89;0;291;996
18;247;90;2;279;1030
7;200;46;3;295;1015
19;180;80;0;265;1033
9;235;97;1;266;1051
16;40;77;1;287;1023
15;30;93;7;287;1028
6;50;70;2;278;1027
15;300;70;5;280;1007
15;160;88;5;294;1010
17;295;89;1;297;1010
12;340;31;3;287;1017
8;197;76;1;290;999
11;216;74;1;288;1004
29;50;86;4;278;1025
57;10;41;10;277;1032
17;271;65;3;295;1008
5;0;83;0;293;1011
6;132;64;1;294;1006
10;10;47;4;274;1028
19;350;31;6;283;1024
27;309;46;4;259;1032
12;103;74;2;274;1032
8;302;83;2;295;1023
11;244;85;4;301;1009
13;287;77;1;293;1016
16;176;59;1;273;1030
10;262;81;9;279;1012
4;220;60;3;295;1009
7;118;93;0;291;982
8;360;34;2;263;1030
11;9;48;1;298;1024
20;310;27;7;274;1028
6;30;53;4;296;1024
10;220;69;2;297;1017
19;159;74;1;286;1035
7;250;42;8;299;1001
11;130;87;3;286;1026
57;60;60;7;276;1003
7;240;81;2;278;1019
14;340;52;5;278;1021
10;244;78;3;278;974
12;8;100;0;282;1017
13;274;65;3;280;1026
14;31;68;1;290;1020
19;330;37;3;266;1031
11;332;91;2;291;1016
7;251;80;6;272;1006
9;130;47;2;299;1017
22;325;41;4;278;1012
8;272;72;3;267;1019
5;240;26;3;265;1027
9;18;76;1;290;1019
6;10;57;3;283;1015
60;230;62;5;284;1017
40;244;80;3;274;1015
11;254;80;2;267;1027
14;270;45;6;279;1026
6;167;75;1;262;1011
6;220;88;2;271;1016
9;230;56;5;292;1021
24;330;83;3;275;1047
17;5;100;3;263;1038
10;300;45;6;281;1012
12;170;66;3;300;1020
6;213;69;0;300;999
7;330;36;7;280;1015
8;290;80;1;276;1020
34;330;35;7;286;1016
44;340;68;2;289;1022
26;325;49;1;291;1012
15;190;31;4;283;1024
10;277;100;2;280;1016
8;300;58;4;283;1017
9;166;45;2;292;1021
8;275;98;4;295;1003
14;265;76;5;276;1013
57;315;29;3;276;1033
6;293;64;1;295;1015
18;309;59;3;277;1032
12;224;61;1;296;1019
4;284;65;4;278;1023
8;210;69;3;274;1016
10;170;72;7;292;1013
7;267;65;4;294;1020
3;8;69;4;294;1025
11;340;45;8;279;1010
14;308;77;2;297;979
8;240;65;4;297;1011
14;280;67;3;282;1009
12;200;88;5;290;1007
10;230;73;1;294;1020
52;340;64;1;300;1008
25;231;62;1;295;1013
6;270;34;6;275;1021
12;300;40;12;273;1016
15;270;68;6;290;1007
23;244;57;3;280;987
8;230;63;2;280;1023
14;196;75;3;284;1036
10;268;51;5;289;1012
4;320;59;5;275;1016
15;82;99;1;271;1010
5;259;80;2;279;1019
8;100;80;7;277;1012
5;60;57;3;283;1021
13;210;58;5;302;1018
4;50;55;2;277;1023
20;139;75;1;275;1020
13;60;86;10;276;1011
5;190;56;5;292;1017
6;253;50;0;292;985
14;230;64;5;293;1005
12;100;55;3;289;1024
11;210;39;7;298;1015
11;30;58;2;287;989
18;160;76;1;281;1029
13;180;81;7;286;1011
11;203;42;1;299;1020
12;252;80;3;301;973
11;244;78;3;271;988
5;312;62;3;267;1038
11;341;87;1;290;1015
6;280;64;2;288;1028
13;228;93;1;282;982
34;190;84;1;294;1023
47;354;96;1;288;1007
30;0;23;0;284;1022
14;340;60;4;276;1022
57;210;73;3;269;1013
12;135;71;2;293;1017
7;310;68;9;270;1012
25;0;39;1;289;1025
15;270;51;2;262;1031
4;272;82;1;270;1029
22;340;27;6;274;1023
10;30;53;4;296;1020
11;220;33;5;279;1019
6;320;45;4;270;1021
8;170;42;4;300;1015
9;331;70;3;291;1010
6;224;83;2;298;1009
6;191;88;3;297;1012
15;300;39;9;282;1016
13;340;52;4;292;1014
6;320;89;4;274;1040
7;280;56;4;278;1011
5;80;29;5;272;1023
7;150;45;4;302;1019
13;260;65;8;280;1002
11;197;60;4;301;1020
8;243;90;3;280;1026
9;120;94;3;297;1017
6;228;43;2;269;1030
23;340;48;4;276;1034
10;300;63;2;288;1017
17;160;16;5;291;1026
13;25;64;3;279;1013
7;247;83;2;296;1009
7;207;80;0;288;1010
20;261;59;1;285;1020
5;240;56;9;278;990
10;261;70;1;273;1037
15;246;58;2;267;1021
10;91;100;3;277;1050
13;122;75;2;274;1032
6;80;70;8;278;1013
11;105;73;1;288;1027
11;350;76;4;284;1007
16;323;66;4;291;971
9;29;79;2;290;987
7;266;48;2;300;981
5;195;75;1;295;983
7;320;29;6;275;1017
90;210;64;2;296;1015
41;121;100;1;287;1015
19;270;38;10;278;999
5;200;65;1;295;1020
5;310;58;4;271;1026
6;320;48;6;291;1018
15;330;71;4;286;1009
9;248;85;1;285;1021
18;244;96;3;277;1010
28;350;68;6;270;1017
22;90;70;1;290;1013
6;170;78;3;298;1012
11;244;53;3;268;991
18;230;80;3;292;1021
10;320;55;4;289;1009
7;300;32;6;273;1023
11;90;80;1;271;1016
11;330;48;1;288;1027
6;170;26;3;287;1022
19;214;69;3;304;1014
5;110;78;1;299;1007
9;319;73;5;268;1013
6;280;37;5;289;1017
5;110;100;2;277;1028
7;250;37;3;300;1014
11;300;57;5;266;1014
7;270;38;10;278;999
7;297;89;4;274;1034
6;250;50;4;296;1013
43;252;74;1;279;1026
17;0;81;0;281;1015
6;350;44;1;274;1014
11;70;77;3;288;1019
5;330;44;4;276;1018
7;220;61;5;280;1013
10;80;71;3;284;988
4;161;78;2;293;1019
8;280;56;4;277;1025
13;161;98;0;294;1013
4;244;80;3;284;1022
40;250;33;5;303;1012
19;49;82;2;286;1030
37;80;81;9;278;1013
9;169;72;1;297;1015
10;32;43;2;292;1023
11;308;59;2;310;1016
12;244;80;3;267;1014
9;244;64;3;273;1002
11;228;80;1;278;1018
21;311;83;4;267;1024
6;330;55;0;300;1007
5;335;56;1;270;1032
32;43;91;1;276;1011
12;150;54;3;300;1012
34;130;87;7;280;1007
52;30;85;2;269;1020
7;10;80;3;276;1025
8;280;31;8;266;1018
5;308;84;2;273;1030
10;204;72;7;292;1018
6;252;87;1;291;1019
19;170;83;3;300;1008
5;252;80;3;301;973
13;135;83;2;292;1017
5;192;93;1;269;1043
9;0;33;0;278;1018
20;195;58;4;301;1032
17;109;38;2;271;1036
23;240;81;2;278;1019
9;10;87;9;286;1012
17;310;41;3;266;1028
7;313;82;1;274;1022
17;311;35;1;292;1028
6;260;74;1;273;1017
30;340;48;4;276;1034
8;244;63;3;271;998
20;244;54;0;297;1010
10;260;47;1;275;1019
4;284;71;1;292;1007
12;25;71;4;291;1013
22;264;62;1;300;1020
5;284;64;5;277;1013
9;324;68;2;289;1016
6;302;73;2;266;1022
6;19;89;2;273;1018
8;230;35;2;286;1022
18;300;70;2;306;1023
10;160;64;4;294;1020
9;190;38;6;306;1007
9;20;93;3;277;1031
5;210;24;7;278;1019
12;10;51;4;276;1011
7;47;78;4;288;983
5;322;73;2;294;1017
16;319;99;2;291;1025
4;326;75;1;276;1025
13;296;84;1;287;982
8;170;88;4;294;1008
11;200;50;2;283;1020
9;202;99;1;296;1026
8;170;63;1;294;1019
27;310;63;8;271;1016
6;344;60;3;283;1035
9;358;94;1;294;1011
5;217;91;1;272;1041
21;310;41;6;264;1029
7;140;64;7;295;1022
11;244;80;3;262;1031
13;230;83;3;295;1009
5;0;93;3;291;1005
8;140;88;2;296;1008
5;1;91;0;291;1008
17;4;74;1;295;1017
6;244;89;3;283;986
7;244;75;3;285;980
11;148;38;0;267;1034
4;244;53;3;281;985
12;195;38;1;302;1019
5;50;93;4;277;1019
16;0;34;0;291;1006
13;20;57;2;277;1037
14;186;75;1;293;1011
28;168;40;3;285;1042
39;50;62;3;286;1012
21;60;82;6;287;1021
8;164;69;1;264;1020
11;270;63;3;290;1020
4;342;58;1;292;983
12;166;64;1;292;1017
8;108;80;1;274;1001
9;185;93;5;292;1009
14;23;75;4;277;1013
22;244;51;3;278;981
7;120;97;0;292;1022
30;340;45;4;281;1027
8;340;61;4;277;1017
4;290;59;6;276;1014
12;220;39;4;278;1025
11;128;52;0;295;1025
24;10;75;2;276;1016
10;45;80;1;268;1009
14;0;83;2;292;1005
9;252;80;1;272;1025
8;340;100;2;290;1017
6;96;97;3;292;1010
13;330;43;6;287;1029
5;308;74;6;279;1018
6;50;86;4;278;1025
7;8;100;1;283;1014
15;140;63;2;288;1025
15;348;67;0;307;1022
8;340;61;5;279;1029
12;50;59;3;275;1007
24;200;29;2;288;1021
29;18;83;2;274;1016
13;20;59;4;275;1018
5;325;55;2;281;1006
22;261;92;1;277;1017
26;0;52;2;278;1012
24;270;36;6;298;1016
65;247;69;1;273;1037
8;166;45;2;292;1021
8;320;92;1;265;1020
4;30;29;2;288;1030
4;100;75;5;278;1018
6;305;60;7;281;1026
8;60;93;3;285;1014
18;196;59;4;301;1032
7;241;80;2;284;1019
10;333;35;1;288;1004
11;310;73;2;297;1014
6;40;38;3;269;1032
7;150;54;3;288;1022
20;330;45;9;280;1018
28;0;65;3;280;1023
15;70;39;3;280;1015
11;120;57;4;283;1020
13;342;69;3;284;978
10;51;90;2;285;1030
7;190;77;3;288;1015
5;240;51;4;262;1029
12;244;80;3;275;1015
8;150;70;4;281;1029
12;40;64;4;296;1015
4;30;81;2;283;1023
16;250;35;4;287;1021
10;260;34;3;280;1021
21;330;48;1;288;1027
35;317;70;2;299;1019
49;45;61;0;300;1023
7;300;28;12;293;1019
13;240;48;4;301;1012
14;340;80;4;273;1006
26;190;38;5;276;1026
23;270;43;4;282;1021
5;300;28;4;272;1021
10;260;39;11;280;1011
7;340;36;4;270;1020
8;150;54;5;288;1028
9;60;70;4;278;1030
4;311;35;1;292;1028
8;300;36;11;272;1006
8;230;62;5;285;1017
13;300;38;8;262;1023
17;330;55;4;274;1008
4;90;80;0;291;1019
5;14;100;3;292;1000
10;81;93;1;291;1003
10;162;59;2;294;1022
27;250;31;2;278;1030
5;270;44;4;276;1014
21;29;74;2;290;983
6;20;72;2;291;1016
9;230;88;1;291;1017
58;319;38;3;287;1004
7;316;72;1;289;1023
10;300;81;1;278;1009
8;70;75;4;278;1023
57;20;73;3;293;1018
9;240;35;4;292;1016
10;211;38;1;293;988
8;209;71;8;293;1015
5;270;30;13;277;1000
8;260;37;4;284;1016
11;268;93;1;290;1019
17;230;50;4;283;1015
35;355;62;2;306;1019
6;278;100;2;271;1031
4;212;97;1;279;1025
36;330;28;3;300;1026
17;222;43;2;300;1017
7;304;60;2;286;1009
10;282;96;2;294;1025
16;232;80;2;279;1020
9;34;69;0;297;1017
11;313;55;4;281;1033
13;211;100;1;289;1012
6;360;69;3;294;1012
8;305;21;2;275;1016
6;210;58;3;300;1021
8;10;93;4;280;1017
10;30;87;3;278;1007
5;40;60;2;276;1003
9;280;36;7;280;1016
6;0;88;0;296;1020
5;243;83;4;300;1008
3;70;100;6;285;1016
12;244;59;3;284;970
20;216;82;1;280;1037
6;50;93;2;288;1014
6;113;43;0;274;1038
13;320;68;5;272;1007
21;260;37;8;294;1009
15;120;44;2;287;1028
16;232;80;1;289;1012
9;10;32;7;268;1019
8;120;51;4;301;1016
7;30;100;2;275;1015
9;224;83;2;298;1009
5;12;94;0;299;1014
6;118;82;1;301;1011
15;290;42;9;272;1016
9;244;67;3;273;996
16;283;99;1;285;1014
13;220;69;2;297;1017
17;249;59;2;268;1022
7;17;74;2;262;1016
39;160;55;5;292;1017
15;330;34;12;272;1012
6;203;84;1;266;1031
8;233;80;2;269;1029
11;261;42;2;293;985
8;87;100;2;277;1050
23;244;76;3;286;1021
11;314;88;3;285;1001
12;288;66;1;288;1017
17;86;96;2;292;1016
23;320;69;4;276;1013
16;270;66;4;283;1011
14;70;86;2;273;1023
13;273;58;4;282;1014
12;130;93;1;287;1024
21;121;69;1;291;1032
11;160;83;2;298;1007
8;310;53;7;283;1023
16;309;81;4;266;1024
19;46;87;1;273;1012
8;230;81;7;281;987
10;270;46;3;273;1020
8;0;37;0;285;1019
8;142;62;2;294;1028
7;300;45;4;281;1012
7;300;23;8;274;1009
9;0;87;0;279;1019
13;188;54;2;298;1032
5;320;57;4;280;1004
7;50;80;7;276;1031
8;307;55;0;289;1021
17;350;31;6;283;1024
10;268;70;3;302;1010
12;260;44;6;274;1017
27;50;69;11;277;1011
15;180;55;2;272;1018
5;260;40;3;273;1027
52;260;41;11;279;995
35;244;80;3;271;1017
22;247;66;1;287;1029
9;310;41;8;287;1008
10;110;70;5;279;1021
5;30;88;3;295;1019
6;30;64;4;292;1025
8;80;69;7;276;1013
6;166;56;1;300;978
7;200;29;2;288;1021
16;230;64;3;277;1018
9;120;75;1;282;1025
9;280;24;4;274;1030
8;110;65;1;292;1025
8;59;44;1;290;991
6;260;87;4;278;1010
21;185;49;1;297;984
8;280;62;5;266;1012
7;330;53;3;294;976
8;0;54;1;299;1013
19;235;59;0;306;1021
11;250;24;3;273;1022
9;22;100;0;287;1006
19;251;79;6;279;1023
15;340;28;7;272;1031
5;10;33;2;269;1030
10;270;58;5;286;1006
6;252;95;2;271;1016
24;340;47;6;274;1012
32;34;84;3;281;1043
10;300;45;9;282;1012
10;76;90;4;278;1041
13;320;64;7;276;1011
6;252;90;2;295;1015
7;166;65;1;298;979
18;341;82;2;292;1011
7;232;95;1;287;1013
7;251;50;1;287;1034
5;297;20;2;278;1014
13;230;61;6;299;1011
18;311;83;2;271;1014
18;144;83;1;291;1016
14;290;36;5;296;1012
6;37;71;1;296;981
15;254;64;4;289;996
11;250;52;2;279;1012
7;340;64;1;300;1008
7;50;88;3;291;1018
8;159;79;0;295;1020
7;280;28;6;287;1015
7;276;78;3;261;1007
5;300;57;8;265;1029
14;300;48;9;265;1018
16;193;74;1;291;1025
10;230;39;4;270;1019
21;7;43;2;286;1029
10;173;46;0;290;990
16;244;80;3;268;1012
21;30;93;5;286;1020
20;40;82;2;287;1023
10;300;76;3;286;1018
44;220;45;8;303;1010
7;220;69;4;275;1021
12;180;72;1;289;1017
10;0;93;0;279;1010
7;250;69;3;268;1026
7;0;65;1;277;1012
9;218;80;3;273;1024
21;280;40;6;275;1010
5;320;58;7;270;1008
3;251;77;2;264;1024
14;21;52;2;278;1005
13;310;60;5;276;1018
9;50;57;9;284;1036
6;249;68;1;282;1025
18;140;28;4;289;1015
14;280;48;4;277;1018
8;65;73;1;283;1041
4;355;65;3;262;1016
5;284;59;2;259;1031
14;252;62;1;282;1040
21;130;73;1;293;1014
11;297;80;1;276;1008
6;0;32;0;271;1016
6;53;67;2;299;1016
11;40;54;2;286;1016
37;190;83;3;294;1021
25;314;66;1;306;1020
6;218;68;2;289;1019
9;180;88;3;296;1019
10;145;78;1;298;1014
35;190;70;5;302;1012
16;190;67;2;294;1031
15;274;69;4;282;1025
6;224;80;2;277;1011
6;303;77;2;287;1028
15;130;81;10;284;995
6;298;63;3;255;1019
10;266;95;2;297;1023
4;10;93;2;278;1019
6;327;67;4;267;1017
28;50;33;6;290;1030
16;80;72;1;289;1018
5;26;68;3;284;991
6;300;50;1;296;1015
7;60;77;2;291;1018
25;226;88;0;295;1021
16;20;87;3;283;1020
18;120;68;4;291;1020
8;58;48;1;300;1021
4;0;45;1;280;1014
11;261;45;3;301;1016
18;210;55;1;286;1016
5;16;63;1;287;1018
22;0;93;0;289;1020
10;273;58;4;282;1014
12;70;86;12;275;1011
57;325;100;4;265;1041
10;232;86;5;293;1016
5;346;37;3;290;1008
7;128;82;1;290;1019
16;200;88;4;297;1022
13;340;80;4;274;1015
23;7;99;0;293;1013
5;210;58;3;300;1021
7;223;91;2;296;1017
8;40;87;2;283;1021
29;287;58;2;294;1017
5;201;67;2;278;1016
12;313;64;9;269;1018
6;150;80;2;271;1019
9;191;79;3;288;1028
13;30;52;4;277;1034
5;283;79;2;286;1020
4;135;95;2;289;1011
4;50;87;8;278;1012
31;110;83;4;301;1018
8;190;24;4;274;1020
6;60;57;6;298;1015
9;262;73;3;265;1020
7;131;69;0;296;1014
6;190;70;2;301;1023
18;315;58;2;296;1003
15;55;74;1;270;1020
13;230;52;3;281;1020
7;330;93;2;275;999
7;334;44;0;295;1013
10;0;13;2;290;1021
15;30;39;2;281;1034
7;341;81;2;286;1021
24;0;30;1;271;1034
7;20;93;8;275;1022
6;50;93;2;282;1013
7;310;71;9;284;1009
13;0;74;0;273;1013
9;130;87;13;285;989
12;230;69;2;277;1002
10;340;34;3;283;1020
7;133;95;1;285;1019
5;210;30;5;299;1024
5;243;81;2;268;997
57;292;97;2;294;1021
16;33;93;1;284;1012
15;150;48;4;298;1015
9;140;83;3;299;1008
10;50;64;4;295;1016
11;190;55;4;291;1021
17;322;82;2;268;1026
9;300;18;4;288;1017
16;60;28;4;293;1023
12;0;93;0;292;1018
40;330;47;7;275;1018
13;209;75;0;297;1018
11;340;56;4;264;1023
32;183;99;1;288;1015
13;240;81;3;281;1020
34;280;36;5;263;1029
9;150;88;4;297;1015
16;330;50;7;282;1003
29;190;71;2;281;1026
12;92;96;5;279;1041
10;102;80;1;261;1031
10;39;76;2;263;1031
8;323;51;3;282;1020
8;170;63;1;294;1019
4;100;50;2;296;1019
3;60;67;5;290;1022
18;30;75;3;275;1038
6;106;70;0;290;1024
9;46;88;0;293;1021
9;320;63;3;271;1033
